incorrect_word,correct_word,note,type
algorithm,แอลกอริทึม,คำทับศัพท์ทางการวุฒิสภา,transliteration
algorithm,อัลกอริทึม,คำทับศัพท์ทางการวุฒิสภา,transliteration
Alien,เอเลียน,คำทับศัพท์ทางการวุฒิสภา,transliteration
alliance,อัลไลอันซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
All Singaporean is a swimmer,ออลสิงคโปเรียนอีสอะสวิมเมอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
All Thailand,ออลไทยแลนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
alone,อะโลน,คำทับศัพท์ทางการวุฒิสภา,transliteration
ALTV,เอแอลทีวี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Alzheimer,อัลไซเมอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
AM,เอเอ็ม,คำทับศัพท์ทางการวุฒิสภา,transliteration
A-MED Home Ward Care,เอ-เมดโฮมวอร์ดแคร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
amicus curiae,แอมิคัสคิวรีไอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
amphetamine,แอมเฟทามีน,คำทับศัพท์ทางการวุฒิสภา,transliteration
amphibian,แอมฟิเบียน,คำทับศัพท์ทางการวุฒิสภา,transliteration
analog,แอนะล็อก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Analysis,แอนะไลซิส,คำทับศัพท์ทางการวุฒิสภา,transliteration
analytics,แอนาไลติกส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Android,แอนดรอยด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
another,อะนาเทอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Antarctic,แอนตาร์กติก,คำทับศัพท์ทางการวุฒิสภา,transliteration
anti,แอนตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
antibody,แอนติบอดี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Anti-Corruption and Transparency Expert Working Group,แอนไท-คอร์รัปชันแอนด์ทรานสแปเรนซีเอ็กซ์เปิร์ตเวิร์กกิงกรุป,คำทับศัพท์ทางการวุฒิสภา,transliteration
Anti-SLAPP Law,แอนไท-สแลปป์ลอว์,คำทับศัพท์ทางการวุฒิสภา,transliteration
anywhere anytime,เอนีแวร์เอนีไทม์,คำทับศัพท์ทางการวุฒิสภา,transliteration
AOC,เอโอซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
apartment,อะพาร์ตเมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
APEC,เอเปก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Apollo,อะพอลโล,คำทับศัพท์ทางการวุฒิสภา,transliteration
Apostille,อะพอสติลล์,คำทับศัพท์ทางการวุฒิสภา,transliteration
App,แอป,คำทับศัพท์ทางการวุฒิสภา,transliteration
application,แอปพลิเคชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
application Agri-Map,แอปพลิเคชันอะกรีแม็ป,คำทับศัพท์ทางการวุฒิสภา,transliteration
application C-SITE,แอปพลิเคชันซีไซต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
application LINE,แอปพลิเคชันไลน์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Appreciation,อัปพรีชีเอชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
approach,แอปโพรช/อัปโพรช,คำทับศัพท์ทางการวุฒิสภา,transliteration
April Fools' Day,เอพริลฟูลส์เดย์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Aquarium,อะแควเรียม,คำทับศัพท์ทางการวุฒิสภา,transliteration
area based,แอเรียเบสด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Arizona,แอริโซนา,คำทับศัพท์ทางการวุฒิสภา,transliteration
ARPANET,อาร์พาเน็ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
art,อาร์ต,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
Art for All,อาร์ตฟอร์ออล,คำทับศัพท์ทางการวุฒิสภา,transliteration
Artificial Intelligence,อาร์ทิฟิเชียลอินเทลลิเจนซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
ASEAN Quality Assurance Network,อาเซียนควอลิตีแอสชัวรันซ์เน็ตเวิร์ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Asia,เอเชีย,คำทับศัพท์ทางการวุฒิสภา,transliteration
Asian Games,เอเชียนเกมส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Asian Indoor Games,เอเชียนอินดอร์เกมส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Asian Indoor & Martial Arts Games,เอเชียนอินดอร์แอนด์มาร์เชียลอาตส์เกมส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Asian Martial Arts Games,เอเชียนมาร์เชียลอาตส์เกมส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
ASOSAI,แอโซไซ,คำทับศัพท์ทางการวุฒิสภา,transliteration
asphaltic,แอสฟัลติก,คำทับศัพท์ทางการวุฒิสภา,transliteration
asset,แอสเซต,คำทับศัพท์ทางการวุฒิสภา,transliteration
at,แอต,คำทับศัพท์ทางการวุฒิสภา,transliteration
audit,ออดิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
auditor,ออดิเตอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
auto,ออโต,คำทับศัพท์ทางการวุฒิสภา,transliteration
Automate,ออโตเมต,คำทับศัพท์ทางการวุฒิสภา,transliteration
automation,ออโตเมชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
availability,อะเวละบิลิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
avocado,อาโวคาโด/แอโวคาโด,คำทับศัพท์ทางการวุฒิสภา,transliteration
Awards,อะวอดส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
back,แบ็ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
backbone,แบ็กโบน,คำทับศัพท์ทางการวุฒิสภา,transliteration
backlog,แบ็กล็อก,คำทับศัพท์ทางการวุฒิสภา,transliteration
backpack,แบ็คแพ็ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
backward,แบ็กเวิร์ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
bad dream,แบดดรีม,คำทับศัพท์ทางการวุฒิสภา,transliteration
balance,บาลานซ์/บาลันซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
balck,แบ็ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Bangalore,บังคาลอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Bangkok Declaration,บางกอกเดคลาเรชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
Bangkok Goals,บางกอกโกลส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Bank of England,แบงก์ออฟอิงแลนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Banteay Meanchey,บันทายมีชัย,คำทับศัพท์ทางการวุฒิสภา,transliteration
base,เบส,คำทับศัพท์ทางการวุฒิสภา,transliteration
Based,เบสด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
basic,เบสิก,คำทับศัพท์ทางการวุฒิสภา,transliteration
basic research,เบสิกรีเซิร์ช,คำทับศัพท์ทางการวุฒิสภา,transliteration
Battered,แบตเตอด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
battered,แบตเติร์ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
battery,แบตเตอรี่,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
BBC,บีบีซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
BCG Economy Model,บีซีจีอีคอนอมีโมเดล,คำทับศัพท์ทางการวุฒิสภา,transliteration
BCG-NAGA Belt Road,บีซีจีนากาเบลต์โรด,คำทับศัพท์ทางการวุฒิสภา,transliteration
BCG quick win,บีซีจีควิกวิน,คำทับศัพท์ทางการวุฒิสภา,transliteration
bearish,แบริช,คำทับศัพท์ทางการวุฒิสภา,transliteration
before,บิฟอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Belt and Road Initiative,เบลต์แอนด์โรดอินิทิเอทีฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
benchmark,เบนช์มาร์ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Benz,เบนซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
best,เบสต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
best practice,เบสต์แพร็กทิซ,คำทับศัพท์ทางการวุฒิสภา,transliteration
beta-agonist,เบตาแอโกนิสต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
better is expected,เบตเทอร์อีสเอ็กซเป็กเต็ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
big data,บิ๊กเดตา,คำทับศัพท์ทางการวุฒิสภา,transliteration
bill,บิล,คำทับศัพท์ทางการวุฒิสภา,transliteration
billboard,บิลบอร์ด,คำทับศัพท์ทางการวุฒิสภา (ศัพท์บัญญัติ),transliteration
binance,ไบแนนซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Biochar,ไบโอชาร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Bio-Circular-Green Economy Model,ไบโอเซอร์คิวลาร์กรีนอีคอนอมีโมเดล,คำทับศัพท์ทางการวุฒิสภา,transliteration
Bioeconomy,ไบโออีคอนอมี,คำทับศัพท์ทางการวุฒิสภา,transliteration
biometric,ไบโอเมทริก,คำทับศัพท์ทางการวุฒิสภา,transliteration
biometrics,ไบโอเมทริกส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
bioplastic,ไบโอพลาสติก,คำทับศัพท์ทางการวุฒิสภา,transliteration
BIOPOLIS,ไบโอโพลิส,คำทับศัพท์ทางการวุฒิสภา,transliteration
BIOTEC,ไบโอเทก,คำทับศัพท์ทางการวุฒิสภา,transliteration
biotechnology,ไบโอเทคโนโลยี,คำทับศัพท์ทางการวุฒิสภา,transliteration
bitcoin,บิตคอยน์,คำทับศัพท์ทางการวุฒิสภา,transliteration
BKK zero waste,บีเคเคซีโรเวสต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
blank,แบลงก์,คำทับศัพท์ทางการวุฒิสภา,transliteration
block,บล็อก,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
blockchain,บล็อกเชน,คำทับศัพท์ทางการวุฒิสภา,transliteration
block vote,บล็อกโหวต,คำทับศัพท์ทางการวุฒิสภา,transliteration
board,บอร์ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
BOE,บีโออี,คำทับศัพท์ทางการวุฒิสภา,transliteration
boeing,โบอิง,คำทับศัพท์ทางการวุฒิสภา,transliteration
BOI,บีโอไอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
booth,บูต,คำทับศัพท์ทางการวุฒิสภา,transliteration
booth,บูท,คำทับศัพท์ทางการวุฒิสภา,transliteration
border trade,บอร์เดอร์เทรด,คำทับศัพท์ทางการวุฒิสภา,transliteration
bottom up,บอตทอมอัป,คำทับศัพท์ทางการวุฒิสภา,transliteration
Boxer,บ็อกเซอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
brand,แบรนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Brexit,เบร็กซิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
brief,บรีฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
Broadband Seismograph Station,บอร์ดแบนด์เซสโมกราฟสเตชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
broadcast,บรอดแคสต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
broadcasting,บรอดแคสติง,คำทับศัพท์ทางการวุฒิสภา,transliteration
budget,บัดเจ็ตติง,คำทับศัพท์ทางการวุฒิสภา,transliteration
buffet,บุฟเฟต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Bulldog,บุลล์ด็อก,คำทับศัพท์ทางการวุฒิสภา,transliteration
bull terrier,บุลล์เทร์เรีย,คำทับศัพท์ทางการวุฒิสภา,transliteration
bully,บุลลี,คำทับศัพท์ทางการวุฒิสภา,transliteration
burn scar,เบิร์นสการ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
business,บิซิเนส,คำทับศัพท์ทางการวุฒิสภา,transliteration
Business @ the speech of thought,บิซิเนสแอตเดอะสปีชออฟทอต,คำทับศัพท์ทางการวุฒิสภา,transliteration
business unit,บิซิเนสยูนิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
by pass,บายพาส,คำทับศัพท์ทางการวุฒิสภา,transliteration
cafe,คาเฟ,คำทับศัพท์ทางการวุฒิสภา,transliteration
caliber,แคลิเบอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
call center,คอลเซนเตอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
campaign,แคมเปญ,คำทับศัพท์ทางการวุฒิสภา,transliteration
Cancer Anywhere,แคนเซอร์แอนีแวร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
candidate,แคนดิเดต,คำทับศัพท์ทางการวุฒิสภา,transliteration
capacity,คาแพซิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
capita,แคพิตา,คำทับศัพท์ทางการวุฒิสภา,transliteration
capture,แคปเชอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
car bomb,คาร์บอมบ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
carbon credit,คาร์บอนเครดิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
carbon dioxide,คาร์บอนไดออกไซด์,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
carbon neutrality,คาร์บอนนิวแทรลลิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Carbon Neutrality Net Zero,คาร์บอนนิวแทรลลิตีเน็ตซีโร,คำทับศัพท์ทางการวุฒิสภา,transliteration
career path,แคเรียร์พาท/คาเรียร์พาท,คำทับศัพท์ทางการวุฒิสภา,transliteration
case,เคส,คำทับศัพท์ทางการวุฒิสภา,transliteration
case by case,เคสบายเคส,คำทับศัพท์ทางการวุฒิสภา,transliteration
case ID,เคสไอดี,คำทับศัพท์ทางการวุฒิสภา,transliteration
case manager,เคสแมเนเจอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
cash,แคช,คำทับศัพท์ทางการวุฒิสภา,transliteration
cash flow,แคชโฟลว์,คำทับศัพท์ทางการวุฒิสภา,transliteration
cash out,แคชเอาต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
casino,กาสิโน,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
Cast Game,แคสต์เกม,คำทับศัพท์ทางการวุฒิสภา,transliteration
CAT,แคต,คำทับศัพท์ทางการวุฒิสภา,transliteration
catalog,แค็ตตาล็อก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Catecholamine,แคเทโคลามิน,คำทับศัพท์ทางการวุฒิสภา,transliteration
CBAM,ซีแบม,คำทับศัพท์ทางการวุฒิสภา,transliteration
C-band,ซีแบนด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
CBS,ซีบีเอส,คำทับศัพท์ทางการวุฒิสภา,transliteration
CDC,ซีดีซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
CEDAW,ซีดอว์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Cell Broadcast,เซลล์บรอดแคสต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Cell Broadcast Service,เซลล์บรอดแคสต์เซอร์วิซ,คำทับศัพท์ทางการวุฒิสภา,transliteration
censer,เซนเซอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Center,เซนเตอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Center for Southeast Asian Studies,เซนเตอร์ฟอร์เซาท์อีสต์อาเซียนสตัดดีส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Center of Disease Control and Prevention,เซ็นเตอร์ออฟดีซีสคอนโทรลแอนด์พรีเวนชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
Cer,เซอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
certificate,เซอร์ทิฟิเคต,คำทับศัพท์ทางการวุฒิสภา,transliteration
chainalysis,เชนาไลซีส,คำทับศัพท์ทางการวุฒิสภา,transliteration
challenge,แชลเลนจ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
champ,แชมป์,คำทับศัพท์ทางการวุฒิสภา,transliteration
channel,แชนเนล,คำทับศัพท์ทางการวุฒิสภา,transliteration
chapter,แชปเตอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
charge,ชาร์จ,คำทับศัพท์ทางการวุฒิสภา,transliteration
chart,ชาร์ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
chassis,แชสซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
chatbot,แชตบอต,คำทับศัพท์ทางการวุฒิสภา,transliteration
ChatGPT,แชตจีพีที,คำทับศัพท์ทางการวุฒิสภา,transliteration
check,เช็ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
check and balance,เช็กแอนด์บาลานซ์/เช็กแอนด์บาลันซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
check in,เช็กอิน,คำทับศัพท์ทางการวุฒิสภา,transliteration
chemical reaction,เคมีคัลรีแอ็กชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
chemo,คีโม,คำทับศัพท์ทางการวุฒิสภา,transliteration
Chicken Board,ชิกเกนบอร์ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
chief innovation officer,อินโนเวชันออฟฟิซเซอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
chip,ชิป,คำทับศัพท์ทางการวุฒิสภา,transliteration
Christopher Snowdon,คริสโตเฟอร์สโนว์ดัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
chromebook,โครมบุ๊ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
Cigalike,ซิการ์ไลก์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Cigarette,ซิกาแร็ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
Cigarette Liquid,ซิกาแร็ตลิควิด,คำทับศัพท์ทางการวุฒิสภา,transliteration
Citizen science,ซิติเซนไซเอนซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
city,ซิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
CJ,ซีเจ,คำทับศัพท์ทางการวุฒิสภา,transliteration
claim,เคลม,คำทับศัพท์ทางการวุฒิสภา,transliteration
classify,คลาสสิฟาย,คำทับศัพท์ทางการวุฒิสภา,transliteration
clear,เคลียร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
click,คลิก,คำทับศัพท์ทางการวุฒิสภา,transliteration
climate action technology,ไคลเมตแอ็กชันเทคโนโลยี,คำทับศัพท์ทางการวุฒิสภา,transliteration
clip,คลิป,คำทับศัพท์ทางการวุฒิสภา,transliteration
cloud,คลาวด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
CNG,ซีเอ็นจี,คำทับศัพท์ทางการวุฒิสภา,transliteration
coach,โคช,คำทับศัพท์ทางการวุฒิสภา,transliteration
Cobra Gold,คอบราโกลด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Coconut Board,โคโคนัตบอร์ด,คำทับศัพท์ทางการวุฒิสภา,transliteration
COD,ซีโอดี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Code of Conduct,โคดออฟคอนดักต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Code of Conduct,โคดออฟคอนดักต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
collaboration,คอลแลบอเรชัน/คอลแลโบเรชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
combat,คอมแบต,คำทับศัพท์ทางการวุฒิสภา,transliteration
command,คอมมานด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Commerce,คอมเมิร์ซ,คำทับศัพท์ทางการวุฒิสภา,transliteration
commercialization,คอมเมอร์เชียไลเซชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
commercialize,คอมเมอร์เชียไลซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
commercial scale,คอมเมอร์เชียลสเกล,คำทับศัพท์ทางการวุฒิสภา,transliteration
commission,คอมมิสชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
commissioning,คอมมิสชันนิง,คำทับศัพท์ทางการวุฒิสภา,transliteration
communication process,คอมมิวนิเคชันโพรเซส,คำทับศัพท์ทางการวุฒิสภา,transliteration
Community,คอมมิวนิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Community-Based Treatment,คอมมิวนิตีเบสต์ทรีตเมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
competence,คอมพีเทนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
competency,คอมพิเทนซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
competitiveness,คอมเพทิทีฟเนส,คำทับศัพท์ทางการวุฒิสภา,transliteration
complex,คอมเพล็กซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
compliance,คอมไพลแอนซ์/คอมไพลอันซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
compliance audit,คอมไพลแอนซ์ออดิต/คอมไพลอันซ์ออดิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
compromise,คอมโพรไมส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Concentration,คอนเซนเทรชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
concept,คอนเซปต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
concept idea,คอนเซปต์ไอเดีย,คำทับศัพท์ทางการวุฒิสภา,transliteration
concern,คอนเซิร์น,คำทับศัพท์ทางการวุฒิสภา,transliteration
concert,คอนเสิร์ต,คำทับศัพท์ทางการวุฒิสภา (ศัพท์บัญญัติ),transliteration
concert hall,คอนเสิร์ตฮอล,คำทับศัพท์ทางการวุฒิสภา,transliteration
concrete,คอนกรีต,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
condominium,คอนโดมิเนียม,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
confirm,คอนเฟิร์ม,คำทับศัพท์ทางการวุฒิสภา,transliteration
conflict of interest,คอนฟลิกต์ออฟอินเทอเรสต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
ConforAll,คอนฟอร์อล,คำทับศัพท์ทางการวุฒิสภา,transliteration
connection,คอนเน็กชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
connection per second,คอนเน็กชันเปอร์เซคันด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
construction,คอนสตรักชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
consult,คอนซัลต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Consultation,คอนซัลเทชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
Consumer Association Of Singapore,คอนซูเมอร์แอสโซซิเอชันออฟอินโดนีเซีย,คำทับศัพท์ทางการวุฒิสภา,transliteration
contactless payment,คอนแทกต์เลสเพย์เมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
container,คอนเทนเนอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
content,คอนเทนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
content creator,คอนเทนครีเอเตอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Content provider,คอนเทนต์โพรไวเดอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
contingency,คอนทิเจนซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
cool japan,คูลเจแปน,คำทับศัพท์ทางการวุฒิสภา,transliteration
coordination,โคออร์ดิเนชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
COP,คอป,คำทับศัพท์ทางการวุฒิสภา,transliteration
copy,ก๊อบปี้,คำทับศัพท์ทางการวุฒิสภา,transliteration
copy and development,ก๊อปปี้แอนด์ดิเวลอปเมนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
copyleft,ก๊อบปี้เลฟต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
copyright,ก๊อปปี้ไรต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
core values,คอร์แวลูส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Cornell,คอร์เนลล์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Corporate Income Tax : CIT,คอร์เปอเรตอินคัมแท็กซ์,คำทับศัพท์ทางการวุฒิสภา,transliteration
