ลำดับที่,ภาษาอังกฤษ,คำทับศัพท์ภาษาไทย,หมายเหตุ
74,Appreciation,อัปพรีชีเอชัน,
75,approach,แอปโพรช/อัปโพรช,
76,April Fools' Day,เอพริลฟูลส์เดย์,
77,Aquarium,อะแควเรียม,
78,area based,แอเรียเบสด์,
79,Arizona,แอริโซนา,
80,ARPANET,อาร์พาเน็ต,
81,art,อาร์ต,พจนานุกรม
82,Art for All,อาร์ตฟอร์ออล,
83,Artificial Intelligence,อาร์ทิฟิเชียลอินเทลลิเจนซ์,
84,ASEAN Quality Assurance Network,อาเซียนควอลิตีแอสชัวรันซ์เน็ตเวิร์ก,
85,Asia,เอเชีย,
86,Asian Games,เอเชียนเกมส์,
87,Asian Indoor Games,เอเชียนอินดอร์เกมส์,
88,Asian Indoor & Martial Arts Games,เอเชียนอินดอร์แอนด์มาร์เชียลอาตส์เกมส์,
89,Asian Martial Arts Games,เอเชียนมาร์เชียลอาตส์เกมส์,
90,ASOSAI,แอโซไซ,
91,asphaltic,แอสฟัลติก,
92,asset,แอสเซต,
93,at,แอต,
94,audit,ออดิต,
95,auditor,ออดิเตอร์,
96,auto,ออโต,
97,Automate,ออโตเมต,
98,automation,ออโตเมชัน,
99,availability,อะเวละบิลิตี,
100,avocado,อาโวคาโด/แอโวคาโด,
101,Awards,อะวอดส์,
102,back,แบ็ก,
103,backbone,แบ็กโบน,
104,backlog,แบ็กล็อก,
105,backpack,แบ็คแพ็ก,
106,backward,แบ็กเวิร์ด,
107,bad dream,แบดดรีม,
108,balance,บาลานซ์/บาลันซ์,
109,balck,แบ็ก,
110,Bangalore,บังคาลอร์,
111,Bangkok Declaration,บางกอกเดคลาเรชัน,
112,Bangkok Goals,บางกอกโกลส์,
113,Bank of England,แบงก์ออฟอิงแลนด์,
114,Banteay Meanchey,บันทายมีชัย,
115,base,เบส,
116,Based,เบสด์,
117,basic,เบสิก,
118,basic research,เบสิกรีเซิร์ช,
119,Battered,แบตเตอด์,
120,battered,แบตเติร์ด,
121,battery,แบตเตอรี่,พจนานุกรม
122,BBC,บีบีซี,
123,BCG Economy Model,บีซีจีอีคอนอมีโมเดล,
124,BCG-NAGA Belt Road,บีซีจีนากาเบลต์โรด,
125,BCG quick win,บีซีจีควิกวิน,
126,bearish,แบริช,
127,before,บิฟอร์,
128,Belt and Road Initiative,เบลต์แอนด์โรดอินิทิเอทีฟ,
129,benchmark,เบนช์มาร์ก,
130,Benz,เบนซ์,
131,best,เบสต์,
132,best practice,เบสต์แพร็กทิซ,
133,beta-agonist,เบตาแอโกนิสต์,
134,better is expected,เบตเทอร์อีสเอ็กซเป็กเต็ด,
135,big data,บิ๊กเดตา,
136,bill,บิล,
137,billboard,บิลบอร์ด,ศัพท์บัญญัติ
138,binance,ไบแนนซ์,
139,Biochar,ไบโอชาร์,
140,Bio-Circular-Green Economy Model,ไบโอเซอร์คิวลาร์กรีนอีคอนอมีโมเดล,
141,Bioeconomy,ไบโออีคอนอมี,
142,biometric,ไบโอเมทริก,
143,biometrics,ไบโอเมทริกส์,
144,bioplastic,ไบโอพลาสติก,
145,BIOPOLIS,ไบโอโพลิส,
146,BIOTEC,ไบโอเทก,
147,biotechnology,ไบโอเทคโนโลยี,
148,bitcoin,บิตคอยน์,
149,BKK zero waste,บีเคเคซีโรเวสต์,
150,blank,แบลงก์,
151,block,บล็อก,พจนานุกรม
152,blockchain,บล็อกเชน,
153,block vote,บล็อกโหวต,
154,board,บอร์ด,
155,BOE,บีโออี,
156,boeing,โบอิง,
157,BOI,บีโอไอ,
158,booth,บูต,
159,booth,บูท,
160,border trade,บอร์เดอร์เทรด,
161,bottom up,บอตทอมอัป,
162,Boxer,บ็อกเซอร์,
163,brand,แบรนด์,
164,Brexit,เบร็กซิต,
165,brief,บรีฟ,
166,Broadband Seismograph Station,บอร์ดแบนด์เซสโมกราฟสเตชัน,
167,broadcast,บรอดแคสต์,
168,broadcasting,บรอดแคสติง,
169,budget,บัดเจ็ตติง,
170,buffet,บุฟเฟต์,
171,Bulldog,บุลล์ด็อก,
172,bull terrier,บุลล์เทร์เรีย,
173,bully,บุลลี,
174,burn scar,เบิร์นสการ์,
175,business,บิซิเนส,
176,Business @ the speech of thought,บิซิเนสแอตเดอะสปีชออฟทอต,
177,business unit,บิซิเนสยูนิต,
178,by pass,บายพาส,
179,cafe,คาเฟ,
180,caliber,แคลิเบอร์,
181,call center,คอลเซนเตอร์,
182,campaign,แคมเปญ,
183,Cancer Anywhere,แคนเซอร์แอนีแวร์,
184,candidate,แคนดิเดต,
185,capacity,คาแพซิตี,
186,capita,แคพิตา,
187,capture,แคปเชอร์,
188,car bomb,คาร์บอมบ์,
189,carbon credit,คาร์บอนเครดิต,
190,carbon dioxide,คาร์บอนไดออกไซด์,พจนานุกรม
191,carbon neutrality,คาร์บอนนิวแทรลลิตี,
192,Carbon Neutrality Net Zero,คาร์บอนนิวแทรลลิตีเน็ตซีโร,
193,career path,แคเรียร์พาท/คาเรียร์พาท,
194,case,เคส,
195,case by case,เคสบายเคส,
196,case ID,เคสไอดี,
197,case manager,เคสแมเนเจอร์,
198,cash,แคช,
199,cash flow,แคชโฟลว์,
200,cash out,แคชเอาต์,
201,casino,กาสิโน,พจนานุกรม
202,Cast Game,แคสต์เกม,
203,CAT,แคต,
204,catalog,แค็ตตาล็อก,
205,Catecholamine,แคเทโคลามิน,
206,CBAM,ซีแบม,
207,C-band,ซีแบนด์,
208,CBS,ซีบีเอส,
209,CDC,ซีดีซี,
210,CEDAW,ซีดอว์,
211,Cell Broadcast,เซลล์บรอดแคสต์,
212,Cell Broadcast Service,เซลล์บรอดแคสต์เซอร์วิซ,
213,censer,เซนเซอร์,
214,Center,เซนเตอร์,
215,Center for Southeast Asian Studies,เซนเตอร์ฟอร์เซาท์อีสต์อาเซียนสตัดดีส์,
216,Center of Disease Control and Prevention,เซ็นเตอร์ออฟดีซีสคอนโทรลแอนด์พรีเวนชัน,
217,Cer,เซอร์,
218,certificate,เซอร์ทิฟิเคต,
219,chainalysis,เชนาไลซีส,
220,challenge,แชลเลนจ์,
221,champ,แชมป์,
222,channel,แชนเนล,
223,chapter,แชปเตอร์,
224,charge,ชาร์จ,
225,chart,ชาร์ต,
226,chassis,แชสซี,
227,chatbot,แชตบอต,
228,ChatGPT,แชตจีพีที,
229,check,เช็ก,
230,check and balance,เช็กแอนด์บาลานซ์/เช็กแอนด์บาลันซ์,
231,check in,เช็กอิน,
232,chemical reaction,เคมีคัลรีแอ็กชัน,
233,chemo,คีโม,
234,Chicken Board,ชิกเกนบอร์ด,
235,chief innovation officer,อินโนเวชันออฟฟิซเซอร์,
236,chip,ชิป,
237,Christopher Snowdon,คริสโตเฟอร์สโนว์ดัน,
238,chromebook,โครมบุ๊ก,
239,Cigalike,ซิการ์ไลก์,
240,Cigarette,ซิกาแร็ต,
241,Cigarette Liquid,ซิกาแร็ตลิควิด,
242,Citizen science,ซิติเซนไซเอนซ์,
243,city,ซิตี,
244,CJ,ซีเจ,
245,claim,เคลม,
246,classify,คลาสสิฟาย,
247,clear,เคลียร์,
248,click,คลิก,
249,climate action technology,ไคลเมตแอ็กชันเทคโนโลยี,
250,clip,คลิป,
251,cloud,คลาวด์,
252,CNG,ซีเอ็นจี,
253,coach,โคช,
254,Cobra Gold,คอบราโกลด์,
255,Coconut Board,โคโคนัตบอร์ด,
256,COD,ซีโอดี,
257,Code of Conduct,โคดออฟคอนดักต์,
258,Code of Conduct,โคดออฟคอนดักต์,
259,collaboration,คอลแลบอเรชัน/คอลแลโบเรชัน,
260,combat,คอมแบต,
261,command,คอมมานด์,
262,Commerce,คอมเมิร์ซ,
263,commercialization,คอมเมอร์เชียไลเซชัน,
264,commercialize,คอมเมอร์เชียไลซ์,
265,commercial scale,คอมเมอร์เชียลสเกล,
266,commission,คอมมิสชัน,
267,commissioning,คอมมิสชันนิง,
268,communication process,คอมมิวนิเคชันโพรเซส,
269,Community,คอมมิวนิตี,
270,Community-Based Treatment,คอมมิวนิตีเบสต์ทรีตเมนต์,
271,competence,คอมพีเทนต์,
272,competency,คอมพิเทนซี,
273,competitiveness,คอมเพทิทีฟเนส,
274,complex,คอมเพล็กซ์,
275,compliance,คอมไพลแอนซ์/คอมไพลอันซ์,
276,compliance audit,คอมไพลแอนซ์ออดิต/คอมไพลอันซ์ออดิต,
277,compromise,คอมโพรไมส์,
278,Concentration,คอนเซนเทรชัน,
279,concept,คอนเซปต์,
280,concept idea,คอนเซปต์ไอเดีย,
281,concern,คอนเซิร์น,
282,concert,คอนเสิร์ต,ศัพท์บัญญัติ
283,concert hall,คอนเสิร์ตฮอล,
284,concrete,คอนกรีต,พจนานุกรม
285,condominium,คอนโดมิเนียม,พจนานุกรม
286,confirm,คอนเฟิร์ม,
287,conflict of interest,คอนฟลิกต์ออฟอินเทอเรสต์,
288,ConforAll,คอนฟอร์อล,
289,connection,คอนเน็กชัน,
290,connection per second,คอนเน็กชันเปอร์เซคันด์,
291,construction,คอนสตรักชัน,
292,consult,คอนซัลต์,
293,Consultation,คอนซัลเทชัน,
294,Consumer Association Of Singapore,คอนซูเมอร์แอสโซซิเอชันออฟอินโดนีเซีย,
295,contactless payment,คอนแทกต์เลสเพย์เมนต์,
296,container,คอนเทนเนอร์,
297,content,คอนเทนต์,
298,content creator,คอนเทนครีเอเตอร์,
299,Content provider,คอนเทนต์โพรไวเดอร์,
300,contingency,คอนทิเจนซี,
301,cool japan,คูลเจแปน,
302,coordination,โคออร์ดิเนชัน,
303,COP,คอป,
304,copy,ก๊อบปี้,
305,copy and development,ก๊อปปี้แอนด์ดิเวลอปเมนต์,
306,copyleft,ก๊อบปี้เลฟต์,
307,copyright,ก๊อปปี้ไรต์,
308,core values,คอร์แวลูส์,
309,Cornell,คอร์เนลล์,
310,Corporate Income Tax : CIT,คอร์เปอเรตอินคัมแท็กซ์,
311,corvette,คอร์เวตต์,
312,cost unit,คอสต์ยูนิต,
313,council,เคาน์ซิล,
314,counter,เคาน์เตอร์,
315,coverage,คัฟเวอริจ,
316,CPI,ซีพีไอ,
317,CPR,ซีพีอาร์,
318,CPTPP,ซีพีทีพีพี,
319,craving,เครฟวิง,
320,creative commons,ครีเอทีฟคอมมอนส์,
321,creative thinking,ครีเอทีฟทิงกิง,
322,credit bank,เครดิตแบงก์,
323,crimes,ไครมส์,
324,criteria,ไครทีเรีย,
325,crop,คร็อป,
326,crypto,คริปโท,
327,Crypto Crime Report,คริปโทไครม์รีพอร์ต,
328,cryptocurrency,คริปโทเคอร์เรนซี,
329,cup,คัป,
330,Customary International Law,คัสโตมามารีอินเตอร์แนชันนัลลอว์,
331,cutout,คัตเอาต์,
332,cyber,ไซเบอร์,
333,cybercrime,ไซเบอร์ไครม์,
334,DAISY,เดซี,
335,data,เดตา,
336,data center,เดตาเซนเตอร์,
337,data-driven,เดตาดริฟเวน,
338,data lake,เดตาเลก,
339,data space,เดตาสเปซ,
340,deadline,เดดไลน์,
341,deal,ดีล,
342,Decision Support System,ดีซิชันซัปพอร์ตซิสเตม,
343,deepfake,ดีปเฟก,
344,DeepSeek,ดีปซีก,
345,defend,ดิเฟนด์,
346,defense,ดีเฟนส์,
347,delay transaction,ดีเลย์แทรนเซกชัน,
348,Deliver ability,ดิลิฟเวอร์อะบิลิตี,
349,delivery,ดิลิเวอรี,
350,Deloitte,ดีลอยต์,
351,Delta Works,เดลตาเวิกส์,
352,demand,ดีมานด์,
353,deposit,ดิพอซิต,
354,depot,ดีโป,
355,design,ดิโซน์,
356,destination,เดสติเนชัน,
357,Detroit,ดิทรอยต์,
358,developer,ดิเวลลอปเปอร์,
359,development,ดิเวลอปเมนต์,
360,Development of Skill Development,ดีพาร์ตเมนต์ออฟสกิลดิเวลอปเมนต์,
361,deviant behavior,ดีวีแอนต์บีแฮฟวีเออร์,
362,Digital Cryptocurrency,ดิจิทัลคริปโทเคอร์เรนซี,
363,digital democracy,ดิจิทัลดิมอเครซี,
364,digital first,ดิจิทัลเฟิสต์,
365,Digital Footprint,ดิจิทัลฟุตพรินต์,
366,digital government,ดิจิทัลกัฟเวิร์นเมนต์,
367,Digital Government Agency,ดิจิทัลกัฟเวิร์นเมนต์เอเจนซี,
368,digital government awards,ดิจิทัลกัฟเวิร์นเมนต์อะวอดส์,
369,digital interactive,ดิจิทัลอินเทอแร็กทีฟ,
370,digital literacy,ดิจิทัลลิเทอเรซี,
371,digital token,ดิจิทัลโทเค็น,
372,digital wallet,ดิจิทัลวอลเล็ต,
373,digital wallet policy,ดิจิทัลวอลเล็ตพอลิซี,
374,direct,ไดเรกต์,
375,discredit,ดิสเครดิต,
376,diseases,ดิซีสส์,
377,Display Center,ดิสเพลย์เซนเตอร์,
378,disrupt,ดิสรัปต์,
379,D-Lion,ดีไลออน,
380,domino,โดมิโน/ดอมิโน,
381,domino,โดมิโน,
382,Donald,ดอนัลด์,
383,Donald John Trump,ดอนัลด์ จอห์น ทรัมป์,
384,Donald Trump,ดอนัลด์ ทรัมป์,
385,Dongmei,ตงเหมย,
386,Double Deck,ดับเบิลเดก,
387,double majority,ดับเบิลมาจอริตี,
388,double simple,ดับเบิลซิมเพิล,
389,doubt,เดาต์,
390,downsize,ดาวน์ไซซ์,
391,drama,ดรามา,
392,dream team,ดรีมทีม,
393,drive,ไดรฟ์,
394,Drone,โดรน,
395,drop,ดร็อป,
396,drop helicopter money,ดร็อปเฮลิคอปเตอร์มันนี,
397,drop out,ดร็อปเอาต์,
398,dry port,ดรายพอร์ต,
399,DSI,ดีเอสไอ,
400,DTAC,ดีแทค,
401,DTI,ดีทีไอ,
402,dump,ดัมป์,
403,duty free,ดิวตีฟรี,
404,DX platform,ดีเอ็กซ์แพลตฟอร์ม,
405,early detection,เออร์ลีดิเทกชัน,
406,early retirement,เออร์ลีรีไทร์เมนต์,
407,eastern,อีสเทิร์น,
408,Eastern Economic Corridor,อิสเทิร์นอีคอนอมิกคอร์ริดอร์,
409,e–Auction,อี-อ็อกชัน,
410,e-Auction,อีอ็อกชัน,
411,e-Audit,อี-ออดิต,
412,e-Book,อี-บุ๊ก,
413,echo chamber,เอ็กโคแชมเบอร์,
414,e-Commerce,อี-คอมเมิร์ซ,
415,e-Commerce platform,อี-คอมเมิร์ซแพลตฟอร์ม,
416,Economic,อีคอนอมิก,
417,economy,อีคอนอมี,
418,economy of scale,อีคอนอมีออฟสเกล,
419,ecosystem,อีโคซิสเตม,
420,Ecstasy,เอกส์ตาซี,
421,e-Digital wallet,อี-ดิจิทัลวอลเล็ต,
422,Education,เอดูเคชัน,
423,EEC,อีอีซี,
424,EECI,อีอีซีไอ,
425,e-Education,อี-เอดูเคชัน,
426,effect,เอฟเฟกต์,
427,Effectiveness,เอฟเฟ็กทีฟเนสส์,
428,e-Finance,อี-ไฟแนนซ์,
429,EGAT,อีแกต,
430,Egmont Group,เอกมอนต์กรุป,
431,EHIA,อีเอชไอเอ,
432,EIA,อีไอเอ,
433,electronic,อิเล็กทรอนิกส์,
434,El Niño,เอลนิญโญ,
435,Email,อีเมล,
436,embryo,เอ็มบริโอ,ศัพท์บัญญัติ
437,e-Money,อีมันนี,
438,enabler,เอเนเบลอร์,
439,encrypt,เอนคริปต์,
440,End of Life Vehicle,เอนด์ออฟไลฟ์วีฮีเคิล,
441,energy,เอเนอร์จี,
442,energy intensity,เอเนอร์จีอินเทนซิตี,
443,energy pool price,เอเนอร์จีพูลไพรซ์,
444,enforcement,เอนฟอร์ซเมนต์,
445,engagement,เอนเกจเมนต์,
446,engineer,เอนจิเนียร์,
447,enhanced,เอ็นแฮนซด์,
448,EnPAT,เอนแพต,
449,ENTEC,เอนเทก,
450,entertainment,เอนเทอร์เทนเมนต์,
451,entertainment complex,เอนเทอร์เทนเมนต์คอมเพล็กซ์,
452,entrepreneur,ออนเทรเพรเนอร์,
453,e-Procurement,อีโพรเคียวเมนต์,
454,e-Procurement,อีโพรเคียวร์เมนต์,
455,Equity,เอควิตี,
456,ERC sandbox,อีอาร์ซีแซนด์บ็อกซ์,
457,error,เอเรอร์,
458,error,เอร์เรอร์,
459,e-Submission,อีซับมิสชัน,
460,ETDA,เอ็ตดา,
461,ethereum,อีเทอเรียม,
462,ethnicity,เอทนิซิตี,
463,EV,อีวี,
464,EVAC,อีแว็ก,
465,EV conversion,อีวีคอนเวอร์ชัน,
466,event,อีเวนต์,
467,E-Wallet,อีวอลเล็ต,
468,Excel,เอกเซล,
469,exception,เอ็กซ์เซปชัน,
470,execution,เอกเซกคิวชัน,
471,executive,เอกเซกคิวทิฟ,
472,exit,เอกซิต,
473,exit,เอ็กซิต,
474,expecting,เอกซ์เปกทิง,
475,Expo,เอกซ์โป,
476,exporter,เอกซ์พอร์เตอร์,
477,extra,เอกซทรา,
478,extrapolate,เอกซ์ทราโพเลต,
479,extreme,เอ็กซ์ตรีม,
480,facebook,เฟซบุ๊ก,ศัพท์บัญญัติ
481,Facebook live,เฟซบุ๊กไลฟ์,
482,Face To Face,เฟซทูเฟซ,
483,facilitate,ฟาซิลิเทต,
484,facilitator,ฟาซิลิเทเตอร์,
485,fact finding,แฟกต์ไฟน์ดิง,
486,factor,แฟกเตอร์,
487,factory,แฟกทอรี,
488,factual,แฟ็กชวล,
489,failed state,เฟลด์สเตต,
490,fake GPS,เฟกจีพีเอส,
491,fake news,เฟกนิวส์,
492,family,แฟมิลี,
493,fan club,แฟนคลับ,
494,farmer,ฟาร์เมอร์,
495,fat,แฟต,
496,FATF,เอฟเอทีเอฟ,
497,father and mother,ฟาเทอร์แอนด์มาเทอร์,
498,fatigue,ฟาทีก,
499,FC,เอฟซี,
500,feasibility,ฟีซิบิลิตี,
501,feat,ฟีต,
502,feature,ฟีเชอร์,
503,Federation of Malaysian Consumers Associations,เฟดเดอเรชันออฟมาเลเซียคอนซูเมอร์แอสโซซิเอชัน,
504,feed,ฟีด,
505,feedback,ฟีดแบ็ก,
506,feeder,ฟีดเดอร์,
507,Feed-in Tariff,ฟีดอินแทรีฟ,
508,festival,เฟสติวัล,
509,fiber optic,ไฟเบอร์ออปติก,
510,fila – brasileiro,ฟีลา – บราซีเลย์โร,
511,file PDF,ไฟล์พีดีเอฟ,
512,filing,ไฟลิง,
513,filter,ฟิลเตอร์,
514,finance,ไฟแนนซ์,
515,financial,ไฟแนนเชียล,
516,financial audit,ไฟแนนเชียลออดิต,
517,Finished Goods,ฟินนิชด์กูดส์,
518,firewall,ไฟร์ลอล,
519,first,เฟิสต์,
520,fiscal,ฟิสกัล,
521,Fitch Rating,ฟิตช์เรตติง,
522,fix,ฟิกซ์,
523,flooding,ฟลัดดิง,
524,floodway,ฟลัดเวย์,
525,floor,ฟลอร์,
526,flow,โฟลว์,
527,fluctuate,ฟลักทูเอต,
528,fluoxetine,ฟลูออกซิทีน,
529,FM,เอฟเอ็ม,
530,focal point,โฟคัลพ็อยนต์,
531,focus,โฟกัส,พจนานุกรม
532,focus group,โฟกัสกรุป,
533,follow up,ฟอลโลว์อัป,
534,font,ฟอนต์,
535,Food and Beverage,ฟูดแอนดเบฟเวอเรจ,
536,food technology,ฟูดเทคโนโลยี,
537,footage,ฟุตเทจ,
538,footnote,ฟุตโน้ต,
539,footpath,ฟุตพาท,
540,forecast,ฟอร์แคสต์,
541,form,ฟอร์ม,
542,formaldehyde,ฟอร์มาลดีไฮด์,
543,formal education,ฟอร์มัลเอดูเคชัน,
544,formalin,ฟอร์มาลิน,
545,formulation policy,ฟอร์มิวเลชันพอลิซี,
546,Fortuner,ฟอร์จูนเนอร์,
547,forward,ฟอร์เวิร์ด,
548,forward,ฟอร์เวิร์ด,
549,Fossil,ฟอสซิล,
550,Found,ฟาวนด์,
551,Foundation,เฟานเดชัน,
552,foundation,ฟาวน์เดชัน,
553,Frankenstein,แฟรงเกนสไตน์,
554,fraud,ฟรอด,
555,free and fair,ฟรีแอนด์แฟร์,
556,freelance,ฟรีแลนซ์,
557,free style,ฟรีสไตล์,
558,freeze headcount,ฟรีซเฮดเคานต์,
559,Frigate,ฟริเกต,
560,frigate,เรือฟริเกต,
561,from,ฟรอม,
562,FTA,เอฟทีเอ,
563,FTI poll,เอฟทีไอโพล,
564,fuel tariff,ฟิวเอลแทร็ฟ,
565,Full,ฟุล,
566,full,ฟุล,
567,funeral,ฟิวเนอรัล,
568,gabion,เกเบียน,
569,galaxy,กาแล็กซี,ศัพท์บัญญัติ
570,gang,แก๊ง,พจนานุกรม
571,gap,แก็ป,
572,gasohol,แกโซฮอล,
573,gate,เกต,
574,gear,เกียร์,พจนานุกรม
575,Gender Responsive Budgeting : GRB,เจนเดอร์เรสปอนซิฟบัดเจ็ตติง,
576,general principles on consumer protection,เจนเนอรัลพรินซิเพิลส์ออนคอนซูเมอร์โพรเทกชัน,
577,Generation,เจเนอเรชัน,
578,generic,เจเนอริก,
579,Genting Highland,เก็นติงไฮแลนด์,
580,Gen x,เจนเอ็กซ์,
581,Gen Y,เจนวาย,
582,Geological,จีโอลอจิคัล,
583,geopolitics,จีโอพอลิติกส์,
584,GFMIS,จีเอฟเอ็มไอเอส,
585,gifted,กิฟเต็ด,
586,GII,จีไอไอ,
587,GISTDA,จิสด้า,
588,global,โกลบอล/โกลบัล,
589,Global Social Network,โกลบัลโซเชียลเน็ตเวิร์ก,
590,Global South,โกลบัลเซาท์,
591,Global Statistic,โกลบัลสเตติสติก,
592,Glycerine,กลีเซอรีน,
593,good governance,กู๊ดกัฟเวอร์แนนซ์,
594,Google,กูเกิล,
595,Google Earth,กูเกิลเอิร์ท,
596,Google Forms,กูเกิลฟอมส์,
597,Governance,กัฟเวอร์แนนซ์,
598,governing body,กัฟเวิร์นนิงบอดี,
599,government,กัฟเวิร์นเมนต์,
600,GPS,จีพีเอส,
601,grade C,เกรดซี,
602,graphic,กราฟิก,
603,gravity,แกรวิตี,
604,Greenland,กรีนแลนด์,
605,Greenpeace,กรีนพีซ,
606,Green Wave,กรีนเวฟ,
607,group,กรุป,
608,grouping,กรุปปิง,
609,guarantee,การันตี,
610,guide,ไกด์,พจนานุกรม
611,guideline,ไกด์ไลน์,
612,guillotine,กิโยตีน,พจนานุกรม
613,guillotine,กิโยตีน,
614,guillotine,กิโยตีน,
615,hack,แฮ็ก,
616,hackathon,แฮกกาทอน,
617,Hack Thailand,แฮ็กไทยแลนด์,
618,Hallyu,ฮัลลยู,
619,hand,แฮนด์,
620,handle,แฮนเดิล,
621,happy,แฮปปี,
622,harm reduction,ฮาร์มรีดักชัน,
623,Harry,แฮรี,
624,hashtag,แฮชแท็ก,
625,HDPE,เอชดีพีอี,
626,Health,เฮลท์,
627,healthy i-Work,เฮลทีไอเวิร์ก,
628,heated but not burn,ฮีตเต็ดบัตน็อตเบิร์น,
629,Heatstroke,ฮีตสโตรก,
630,Help T,เฮลป์ที,
631,hero,ฮีโร,
632,Hexoestrol,เฮกโซเอสตรอล,
633,high end,ไฮเอนด์,ศัพท์บัญญัติ
634,Highlands,ไฮแลนดส์,
635,highlight,ไฮไลต์,
636,high technology,ไฮเทคโนโลยี,
637,HIV,เอชไอวี,
638,Hokkaido,ฮกไกโด,
639,Hollywood,ฮอลลีวูด,
640,home school,โฮมสกูล,
641,homestay,โฮมสเตย์,
642,Honda,ฮอนด้า,
643,hotline,ฮอตไลน์,
644,hotspot,ฮอตสปอต,
645,House,เฮาส์,
646,House of Lords,เฮาส์ออฟลอดส์,
647,How to,ฮาวทู,
648,HSK,เอชเอสเค,
649,hub,ฮับ,
650,human,ฮิวมัน,
651,human skill,ฮิวแมนสกิล,
652,Hurricane,เฮอร์ริเคน,
653,I,ไอ,
654,icon,ไอคอน,
655,idea,ไอเดีย,
656,Identifying Predictors,ไอเดนทิฟายอิงพรีดิกเตอส์,
657,Ignite Thailand,อิกไนต์ไทยแลนด์,
658,Illinois State University,อิลินอยส์สเตตยูนิเวอร์ซิตี,
659,IMD,ไอเอ็มดี,
660,IMF,ไอเอ็มเอฟ,
661,immunity,อิมมิวนิตี,
662,impact,อิมแพกต์,
663,Imperial College,อิมพีเรียลคอลเลจ,
664,import,อิมพอร์ต,
665,import content,อิมพอร์ตคอนเทนต์,
666,IMT - GT,ไอเอ็มที-จีที,
667,incentive,อินเซนทิฟ,
668,indemnity insurance,อินเดมนิตีอินชัวรันซ์,
669,indentify,ไอเดนทิฟาย,
670,independent,อินดิเพนเดนต์,
671,individent living,อินดิวิเดนต์ลิฟวิง,
672,industrial scale,อินดัสเตรียลสเกล,
673,industry,อินดัสตรี,
674,Industry,อินดัสตรี,
675,influencer,อินฟลูเอนเซอร์,
